Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
28329861640,[KHÔNG QUÀ] 1 Bịch Tã Bỉm Dán/Quần Honey Premium Chính Hãng Motaro Cho Bé,"230,0k",20k+,Motaro Viet Nam,14%,₫32.200,https://shopee.vn/product/1361688221/28329861640,https://s.shopee.vn/9KdkAcOOv9
24268467520,"Kệ đựng mỹ phẩm đồ trang điểm để bàn xoay 360, Khay nhựa để bàn đựng đồ trang sức sang trọng","75,0k",3k+,Homebox - Thế Giới Tiện Ích,25%,₫18.750,https://shopee.vn/product/534730986/24268467520,https://s.shopee.vn/9AKJyJP2G8
27726706905,Thùng 10 Bịch Khăn giấy cao cấp rút đáy treo tường TopGia Tiểu Hạ giấy vệ sinh 4 lớp dày dặn mềm mịn,"129,0k",980,TopGia VN,20%,₫25.800,https://shopee.vn/product/86709020/27726706905,https://s.shopee.vn/900tm0Pfb7
41804218701,"[Thùng 300 Cái] Khẩu Trang 5D, Khẩu Trang Chống Tia UV, Khẩu Trang Y Tế Lọc Bụi Mịn, Chống Nắng Hannah Seyo Xanh Việt","119,0k",4k+,Hannah-Seyo HCM,20%,₫23.800,https://shopee.vn/product/1486352761/41804218701,https://s.shopee.vn/8phTZhQIw6
27190607940,Thảm lau chân bali nỉ lì nhiều mẫu xinh trang trí phòng khách phòng ngủ đẹp - Minh Phát P01,"13,9k",40k+,Minh Phát Thảm,19%,₫2.641,https://shopee.vn/product/1617046100/27190607940,https://s.shopee.vn/8fO3NOQwH5
28312205753,"Máy Hút Bụi Cầm Tay KYTO - Hút Bụi Không Dây Hút Bụi Sàn Nhà, Ô tô, Giường Dệm Lực Hút 20000pa","272,0k",400k+,Kyto Store,17%,₫46.240,https://shopee.vn/product/1342303429/28312205753,https://s.shopee.vn/8V4dB5RZc4
41772951971,"COMBO 5 Gói Khăn Lau Bao Sái Ban Thờ Thiên Phúc , HƯƠNG TRẦM - QUẾ AN TOÀN LÀNH TÍNH","29,9k",1k+,Tổng Kho Đèn Năng Lượng 999,20%,₫5.980,https://shopee.vn/product/1573259787/41772951971,https://s.shopee.vn/8KlCymSCx3
24034931524,"Dép nữ đi trong nhà xixitiao, siêu nhẹ, êm, chống trơn giá rẻ chất eva - 8903","46,0k",40k+,Lù Store - Shoes and Clothes,18%,₫8.280,https://shopee.vn/product/404405029/24034931524,https://s.shopee.vn/8ARmmTSqI2
22287079440,KHĂN VẢI KHÔ ĐA NĂNG DÀNH CHO MẸ VÀ BÉ GUMI 300/600/ 900g,"56,0k",200k+,Gumivn,20%,₫11.200,https://shopee.vn/product/801176484/22287079440,https://s.shopee.vn/808MaATTd1
25834872656,Máy Hút Bụi Cầm Tay TAMASHIO Không Dây Nhật Bản 6 Đầu Hút Hút Ô Tô Giường Nệm Sofa,"239,0k",100k+,witkowskikboh,21%,₫50.190,https://shopee.vn/product/1298159892/25834872656,https://s.shopee.vn/2VnQ23oPmy
